primary_stud_code,company_name,parent_company,address,city,state,zip,phone_fax,assigned,notes
714,"World Wide Sires, Ltd.",Select Sires,5545 Avenida de los Robles,Visalia,CA,93291,"559.622.2222, Fax:559.741.2828",Assigned 07/27/2007,
715,Southern Breeders LLC,,14042 FM 1567 W,Cumby,TX,975433,903.366.1097,Assigned 08/28/2019,
716,"SeniGenetic, LLC",,"23986 Aliso Creek Road, Suite 112",Laguna Niguel,CA,92677,"888.463.2111, Fax:888.463.0896",Assigned 08/30/2019,
717,Horizon Genetics,,235 Engel Lane,Mifflintown,PA,17059,717.839.0763,Assigned 03/11/2020,
718,"Rock LJ, Inc.",,"8383 NE Sandy Blvd., Suite 320 F-F",Portland,OR,97220,971.237.1581,Assigned 04/29/2020,
719,RuAnn Genetics,,12863 Kamm Avenue,Riverdale,CA,93656,559.866.5308,Assigned 11/06/2020,
720,Wulf Cattle,,46206 470th Street,Morris,MN,56267,320.392.5609,Assigned 03/30/2021,
721,Black Silver Bovine Technology,,86 rang de la Riviere Sud,St-Esprit,QC,J0K 2L0,450.898.7199,Assigned 06/03/2020,
722,Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1H 6J2 CANADA,519.821.5060,Assigned 01/12/2021,
723,Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1H 6J2 CANADA,519.821.5060,Assigned 01/12/2021,
724,Validity Genetic Testing,,P.O. Box 587,Rockwood,ON,N0B 2K0 CANADA,905.866.7800,Assigned 02/05/2020,Formerly known as Vogue Sires
725,Bullseye Genetics GmbH,,Lutke Berg 2,"Altenberge, North Rhine Westphalia",,DE-48341 GERMANY,(49)25059392222,Assigned 08/18/2021,
726,All USA Beef Inc.,,270 Parkview Drive,Oak Park,CA,91377,971.204.8588,Assigned 01/27/2022,
727,Precision Genetic Solutions LLC,,1250 Lucerne Avenue,Gustine,CA,95322,209.704.2853,Assigned 03/28/2022,
728,Breeder Owned Sire Solutions (BOSS),,228636 County Road J,Wausau,WI,54403,715.574.4374,Assigned 03/28/2022,
729,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/21/2014,
730,Redcarpet Sires,,34695 Kirkland Road,Kirkland,IL,60146,815.979.5314,Assigned 06/23/2022,
733,AG3NexGen Inc.,,406 Fallsview Road,Dundas,ON,L9H 5E2 CANADA,905.308.1008,Assigned 06/26/2020,
734,Jetstream Genetics,Jetstream Genetics,P.O. Box 437/N8452 Airport Road,Watertown,WI,53094,"920.206.4532, Fax:920.262.8022",Assigned 06/16/2017,
746,North Florida Holsteins,,2740 West County Road 232,Bell,FL,32619,"352.463.7174, Fax:352.463.1106",Assigned 10/12/2017,
747,"Androgenics, Inc.",,PO Box 183,Oakdale,CA,95361,"209.847.1101,Fax:209.847.5711",Assigned 08/02/2013,Designated for Sexed Semen
751,GENEX Cooperative/CRI,Genex,100 MBC Drive/P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 04/07/2009,Designated for Sexed Semen
752,GENEX Cooperative/CRI,Genex,100 MBC Drive/P.O. Box 469,Shawano,WI,54166,"715.526.2141, Fax:715.526.3219",Assigned 04/07/2009,Designated for Sexed Semen
758,GenoSource Genetics,,2188 78th Street,Blairstown,IA,52209,319.350.1426,Assigned 04/05/2019,
777,Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1H 6J2 CANADA,"519.821.5060, Fax:519.821.9606",Assigned 03/01/2006,Designated for Sexed Semen
794,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/21/2014,
799,"Blondin Sires, Inc.","Blondin Sires, Inc.",620 Rang St. Vincent,St. Placide,QC,J0V 2B0 CANADA,450.258.2904,Assigned 05/02/2018,
802,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 05/26/2016,
803,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 03/27/2019,
804,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 03/27/2019,
805,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 03/27/2019,
806,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 03/27/2019,
814,Select Sires-AG,Select Sires,E10890 Penny Lane,Baraboo,WI,53913,"608.356.8357, Fax:608.356.4387",Assigned 03/12/2009,Designated for Sexed Semen
829,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/21/2014,
852,Geno,Geno AI Center,Storhamargata 44,2317 Hamar,,NORWAY,4795020600,Assigned 03/14/2019,
888,Semex Alliance,Semex Alliance,5653 Highway 6 North,Guelph,ON,N1H 6J2 CANADA,519.821.5060,Assigned 03/01/2006,Designated for Sexed Semen
894,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/21/2014,
929,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/21/2014,
994,ABS Global,ABS Global,P.O. Box 459/1525 River Road,Deforest,WI,53532,608.846.6417,Assigned 10/21/2014,
